Müügiloa number;Müügiloa staatus;H/V;Ravimi nimetus;Ravimi tugevus;Ravimvorm;ATC kood;Toimeaine;Müügiloa hoidja organisatsioon;Müügiloa hoidja organisatsiooni ORG ID;Müügiloa hoidja organisatsiooni asukoha LOC ID;Juhtumi number;Päritolumaa;Müügiloa kehtivuse alguse kuupäev;Müügiloa kehtivuse lõpu kuupäev;Ravimikaardi number;Ravimi liik;Täiendav järelevalve;Pakendi erandite alguskuupäev;Pakendi erandite lõppkuupäev;Toodetud ravimvorm;Manustatav ravimvorm;Ravimis sisalduv toimeaine;Ravimis sisalduva toimeaine tugevus;Referentstoimeaine;Referentstoimeaine tugevus;Manustamisviisid;Seade pakendis;Säilitustingimused;Pakendi suurus;Müügiloa taotluse number;Müügiloa taotluse protseduuri number;Esitamise kuupäev
1024321;Valid;H;TELMISARTAN/AMLODIPINE ALEMBIC;80mg, 5mg;Tablett;C09DB04;amlodipiin, telmisartaan;Alembic Pharmaceuticals Europe Ltd;ORG-100007006;LOC-100015977;1;;03.03.2021;03.03.2026;7366;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, telmisartaan;;telmisartaan, amlodipiin;80mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 360 Tablett;1;;
850714;Valid;H;SOBYCOMBI;10mg, 5mg;Tablett;C07FB07;amlodipiin, bisoprolool;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;15.09.2014;;4592;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, bisoprolool;;bisoprolool, amlodipiin;10mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett;1;;
949717;Valid;H;OLSSA;40mg, 5mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;12.09.2017;12.09.2022;5895;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin;;olmesartaanmedoksomiil, amlodipiin;40mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett;1;;
990319;Valid;H;DIPPERAM HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, amlodipiin, hüdroklorotiasiid;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;3915;;02.07.2019;02.07.2024;13342;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 90 Tablett, 98 Tablett, 100 Tablett, 280 Tablett;3915;;23.09.2022
990519;Valid;H;DIPPERAM HCT;25mg, 160mg, 10mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;3915;;02.07.2019;02.07.2024;13343;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, valsartaan, amlodipiin;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 90 Tablett, 98 Tablett, 100 Tablett, 280 Tablett;3915;;23.09.2022
990219;Valid;H;DIPPERAM HCT;5mg, 160mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;3915;;02.07.2019;02.07.2024;13344;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;5mg, 160mg, 12.5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;56 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 98 Tablett, 100 Tablett, 280 Tablett;3915;;23.09.2022
949817;Valid;H;OLSSA;40mg, 10mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;12.09.2017;12.09.2022;5896;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, olmesartaanmedoksomiil;;olmesartaanmedoksomiil, amlodipiin;40mg, 10mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett;1;;
981419;Valid;H;RAMDACORDIA HCT;5mg, 12.5mg;Kõvakapsel;C09BX03;ramipriil, hüdroklorotiasiid, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;1391;;05.03.2019;05.03.2024;6318;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;ramipriil, hüdroklorotiasiid, amlodipiin;;ramipriil, amlodipiin, hüdroklorotiasiid;5mg, 12.5mg;Suukaudne;;Hoida temperatuuril kuni 30°C;10 Kapsel, 30 Kapsel, 60 Kapsel, 100 Kapsel, 20 Kapsel, 50 Kapsel, 90 Kapsel;1391;PL/H/0490/002-006/IB/008;31.12.2021
1007520;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE/HCT ACCORD;5mg, 12.5mg, 40mg;Õhukese polümeerikattega tablett;C09DX03;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;Accord Healthcare B.V.;ORG-100003704;LOC-100007148;1435;;25.06.2020;25.06.2025;7039;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;;amlodipiin, hüdroklorotiasiid, olmesartaanmedoksomiil;5mg, 12.5mg, 40mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;14 Tablett, 28 Tablett, 56 Tablett, 98 Tablett;1435;ES/H/0623/1-5/IA/005;22.12.2021
1051622;Valid;H;DALNESSANEO;5mg, 10mg;Tablett;C09BB04;amlodipiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;08.02.2022;08.02.2027;7968;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, perindopriil;;amlodipiin, perindopriil;5mg, 10mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett, 10 Tablett;1;;
1017420;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE/HYDROCHLOROTHIAZIDE TEVA;5mg, 12.5mg, 40mg;Õhukese polümeerikattega tablett;C09DX03;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;Teva B.V.;ORG-100002999;LOC-100003164;1;;29.12.2020;29.12.2025;7240;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;;amlodipiin, hüdroklorotiasiid, olmesartaanmedoksomiil;5mg, 12.5mg, 40mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis;98 Tablett, 14 Tablett, 28 Tablett, 56 Tablett;1;;
785812;Valid;H;RAMDACORDIA;10mg, 5mg;Kõvakapsel;C09BB07;amlodipiin, ramipriil;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;2455;;04.05.2012;;9564;Chemical Medicinal Product;Ei;;;;Kõvakapsel;ramipriil, amlodipiin;;ramipriil, amlodipiin;10mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;90 Kapsel, 20 Kapsel, 30 Kapsel, 50 Kapsel, 100 Kapsel, 10 Kapsel;2455;;19.07.2022
996519;Valid;H;ROXAMPEX;10mg, 8mg;Õhukese polümeerikattega tablett;C10BX14;rosuvastatiin, amlodipiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;04.11.2019;04.11.2024;6828;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, perindopriil, rosuvastatiin;;amlodipiin, rosuvastatiin, perindopriil;10mg, 8mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;60 Tablett, 90 Tablett, 100 Tablett, 30 Tablett;1;;
882415;Valid;H;MIXOR;80mg, 10mg;Tablett;C09DB04;telmisartaan, amlodipiin;Zentiva k.s.;ORG-100004108;LOC-100002580;1;;16.09.2015;;4901;Chemical Medicinal Product;Ei;;;Tablett;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 10mg;Suukaudne;;hoida valguse eest kaitstult, Hoida temperatuuril kuni 25°C, Hoida originaalpakendis;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett;1;;
845714;Valid;H;AMALORIS;10mg, 5mg;Õhukese polümeerikattega tablett;C10BX03;atorvastatiin, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;26.05.2014;;4576;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;atorvastatiin, amlodipiin;;atorvastatiin, amlodipiin;10mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1;;
1024221;Valid;H;TELMISARTAN/AMLODIPINE ALEMBIC;40mg, 10mg;Tablett;C09DB04;telmisartaan, amlodipiin;Alembic Pharmaceuticals Europe Ltd;ORG-100007006;LOC-100015977;1;;03.03.2021;03.03.2026;7365;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, telmisartaan;;telmisartaan, amlodipiin;40mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, See ravimpreparaat ei vaja säilitamisel eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 360 Tablett;1;;
;Pending;H;RAMIPRIL/AMLODIPINE SANDOZ;5mg;Kõvakapsel;C09BB07;amlodipiin, ramipriil;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;1297;;;;8691;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;ramipriil, amlodipiin;;amlodipiin, ramipriil;5mg;Suukaudne;;Hoida temperatuuril kuni 25°C;60 Kapsel, 90 Kapsel, 100 Kapsel, 20 Kapsel, 28 Kapsel, 30 Kapsel, 50 Kapsel;1297;AT/H/1233/001/DC;30.07.2021
982519;Valid;H;VALTRICOM;160mg, 5mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, hüdroklorotiasiid, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;05.03.2019;05.03.2024;6568;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, valsartaan, amlodipiin;;valsartaan, amlodipiin, hüdroklorotiasiid;160mg, 5mg, 25mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 100 Tablett;1;;
981519;Valid;H;RAMDACORDIA HCT;25mg, 5mg;Kõvakapsel;C09BX03;hüdroklorotiasiid, ramipriil, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;1391;;05.03.2019;05.03.2024;6319;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;ramipriil, hüdroklorotiasiid, amlodipiin;;hüdroklorotiasiid, ramipriil, amlodipiin;25mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C;60 Kapsel, 100 Kapsel, 50 Kapsel, 90 Kapsel, 10 Kapsel, 20 Kapsel, 30 Kapsel;1391;PL/H/0490/002-006/IB/008;31.12.2021
1023621;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE/HYDROCHLOROTHIAZIDE ALEMBIC;25mg, 5mg, 40mg;Õhukese polümeerikattega tablett;C09DX03;hüdroklorotiasiid, amlodipiin, olmesartaanmedoksomiil;Alembic Pharmaceuticals Europe Ltd;ORG-100007006;LOC-100015977;1029;;03.03.2021;;7432;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;;hüdroklorotiasiid, amlodipiin, olmesartaanmedoksomiil;25mg, 5mg, 40mg;Suukaudne;;Hoida temperatuuril kuni 30°C;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 500 Tablett, 280 Tablett, 300 Tablett;1029;EE/H/0302/IB/005/G;06.07.2022
802312;Valid;H;DALNESSA;4mg, 10mg;Tablett;C09BB04;perindopriil, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;10;;30.11.2012;;3749;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;perindopriil, amlodipiin;4mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 50 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 28 Tablett;10;;27.06.2022
785612;Valid;H;RAMDACORDIA;10mg, 5mg;Kõvakapsel;C09BB07;ramipriil, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;2456;;04.05.2012;;9566;Chemical Medicinal Product;Ei;;;;Kõvakapsel;ramipriil, amlodipiin;;amlodipiin, ramipriil;10mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;20 Kapsel, 30 Kapsel, 50 Kapsel, 100 Kapsel, 10 Kapsel, 90 Kapsel;2456;;19.07.2022
;Pending;H;RAMIPRIL/AMLODIPINE SANDOZ;10mg, 5mg;Kõvakapsel;C09BB07;ramipriil, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;1298;;;;8692;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;ramipriil, amlodipiin;;amlodipiin, ramipriil;10mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 25°C;20 Kapsel, 28 Kapsel, 30 Kapsel, 50 Kapsel, 60 Kapsel, 90 Kapsel, 100 Kapsel;1298;AT/H/1233/002/DC;30.07.2021
;Pending;H;PERINDOPRIL ARGININE/INDAPAMIDE/AMLODIPINE TEVA;5mg, 1.25mg;Õhukese polümeerikattega tablett;C09BX01;indapamiid, amlodipiin, perindopriil;Teva B.V.;ORG-100002999;LOC-100003164;2172;;;;8727;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;indapamiid, perindopriil, amlodipiin;;amlodipiin, indapamiid, perindopriil;5mg, 1.25mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;10 Tablett, 30 Tablett, 90 Tablett, 100 Tablett;2172;CZ/H/1133/001/DC;31.08.2021
567307;Valid;H;AMLODIPINE MEDOCHEMIE;5mg;Tablett;C08CA01;amlodipiin;Medochemie Limited;MO11501;ML11502;1;;14.12.2007;;2393;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;30 Tablett;1;;
538707;Valid;H;AMLOCARD 10MG;10mg;Tablett;C08CA01;amlodipiin;Hexal AG;ORG-100000313;LOC-100002475;1;;12.02.2007;;2095;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis;10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 50 Tablett, 60 Tablett, 100 Tablett, 120 Tablett, 200 Tablett, 250 Tablett, 30 Tablett, 90 Tablett, 105 Tablett;1;;
1062622;Valid;H;TELMISARTAN/AMLODIPINE TEVA;10mg, 80mg;Tablett;C09DB04;amlodipiin, telmisartaan;Teva B.V.;ORG-100002999;LOC-100003164;1;;09.05.2022;09.05.2027;7898;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;10mg, 80mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 98 Tablett, 90 Tablett;1;;
;Pending;H;RAMIPRIL/AMLODIPINE SANDOZ;5mg, 10mg;Kõvakapsel;C09BB07;ramipriil, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;1299;;;;8693;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;ramipriil, amlodipiin;;amlodipiin, ramipriil;5mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 25°C;20 Kapsel, 28 Kapsel, 30 Kapsel, 50 Kapsel, 60 Kapsel, 90 Kapsel, 100 Kapsel;1299;AT/H/1233/003/DC;30.07.2021
991119;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE KRKA;5mg, 20mg;Õhukese polümeerikattega tablett;C09DB02;olmesartaanmedoksomiil, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;02.07.2019;02.07.2024;7007;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin;;amlodipiin, olmesartaanmedoksomiil;5mg, 20mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 100 Tablett;1;;
780112;Valid;H;DIRONORM;20mg, 5mg;Tablett;C09BB03;lisinopriil, amlodipiin;Gedeon Richter Plc.;ORG-100000640;LOC-100001653;1;;01.03.2012;;3766;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, lisinopriil;;lisinopriil, amlodipiin;20mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 25°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;90 Tablett, 30 Tablett;1;;
929516;Valid;H;TELDIPIN;5mg, 40mg;Tablett;C09DB04;telmisartaan, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;2125;;10.01.2017;;5685;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;5mg, 40mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis;56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 14 Tablett, 28 Tablett, 30 Tablett;2125;CZ/H/0677/IA/014/G;28.06.2022
1024121;Valid;H;TELMISARTAN/AMLODIPINE ALEMBIC;40mg, 5mg;Tablett;C09DB04;telmisartaan, amlodipiin;Alembic Pharmaceuticals Europe Ltd;ORG-100007006;LOC-100015977;1;;03.03.2021;03.03.2026;7363;Chemical Medicinal Product;Ei;;;Tablett;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;40mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, See ravimpreparaat ei vaja säilitamisel eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 360 Tablett;1;;
;Pending;H;CO-DALNESSA NEO;2.5mg, 10mg;Tablett;C09BX01;amlodipiin, indapamiid, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1737;;;;8963;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, indapamiid, amlodipiin;;indapamiid, amlodipiin, perindopriil;2.5mg, 10mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;10 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1737;IE/H/1240/003/DC;31.05.2022
808213;Valid;H;ALNETA;10mg;Tablett;C08CA01;amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;04.03.2013;;4196;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis;28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 100 Tablett;1;;
833113;Valid;H;CO-DALNESSA;1.25mg, 5mg, 4mg;Tablett;C09BX01;amlodipiin, indapamiid, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;20.12.2013;;4428;Chemical Medicinal Product;Ei;;;Tablett;Tablett;indapamiid, amlodipiin, perindopriil;;indapamiid, amlodipiin, perindopriil;1.25mg, 5mg, 4mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;14 Tablett, 20 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 10 Tablett;1;;
957417;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE ACCORD;40mg, 10mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;Accord Healthcare B.V.;ORG-100003704;LOC-100007148;1;;08.01.2018;08.01.2023;5980;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin;;olmesartaanmedoksomiil, amlodipiin;40mg, 10mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 500 Tablett, 1000 Tablett;1;;
954617;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE ZENTIVA;40mg, 10mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;Zentiva k.s.;ORG-100004108;LOC-100002580;3813;;07.11.2017;;12990;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin;;olmesartaanmedoksomiil, amlodipiin;40mg, 10mg;Suukaudne;;Hoida originaalpakendis;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett;3813;;22.09.2022
915816;Valid;H;FRAMSYL;5mg, 16mg;Kõvakapsel;C09DB07;kandesartaan, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;3824;;13.09.2016;;13029;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;amlodipiin, kandesartaan;;amlodipiin, kandesartaan;5mg, 16mg;Suukaudne;;Hoida temperatuuril kuni 30°C;28 Kapsel, 56 Kapsel, 98 Kapsel;3824;;23.09.2022
969418;Valid;H;DALNESSA;5.7mg, 5mg;Tablett;C09BB04;perindopriil, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;11.09.2018;11.09.2023;6367;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, perindopriil;;perindopriil, amlodipiin;5.7mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;10 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1;;
1062522;Valid;H;TELMISARTAN/AMLODIPINE TEVA;80mg, 5mg;Tablett;C09DB04;telmisartaan, amlodipiin;Teva B.V.;ORG-100002999;LOC-100003164;1;;09.05.2022;09.05.2027;7882;Chemical Medicinal Product;Ei;;;Tablett;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;30 Tablett, 56 Tablett, 98 Tablett, 90 Tablett, 14 Tablett, 28 Tablett;1;;
1051722;Valid;H;DALNESSANEO;10mg;Tablett;C09BB04;perindopriil, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;08.02.2022;08.02.2027;7969;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;amlodipiin, perindopriil;10mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;120 Tablett, 10 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1;;
1040421;Valid;H;PERINDOPRIL/ AMLODIPINE ACTAVIS;10mg, 5mg;Tablett;C09BB04;amlodipiin, perindopriil;Actavis Group Ptc ehf.;ORG-100000064;LOC-100001873;1;;15.09.2021;15.09.2026;7461;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;perindopriil, amlodipiin;10mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;30 Tablett, 90 Tablett;1;;
